PROVENIENZA	id	MISURA_FRAMMENTO	FRAMMENTO	chiusi	K	Ca	Ti	Cr	Mn	Fe	Zn	Rb	Sr	somma	valutazione	confidence	perRepVal	perRepConf	NeuralNet	NearestNeighbors	SVC	DecisionTree	RandomForest	NaiveBayes
0	1.1/72	1	1	72	24,0139150644726	30,2384481872425	1,65818701906245	,624986032791281	,868574152842234	42,3657099439077	,0730019442354536	,0625730950589602	,0946045603867613	100	0	1	0	1	0	0	0	0	0	0
0	1.2/72a	2	1	72a	21,9074145217057	30,7337687283903	2,68920476373415	,63388398002305	1,1813292354975	42,5662696888206	,0960430272762197	,0768344218209758	,115251632731464	100	0	1	" "	" "	0	0	0	0	0	0
0	1.3/72b	3	1	72b	21,7863105175292	31,4592949032702	3,15722282235098	,648139055288226	,898556417558676	41,7411371894334	,0883825984483944	,0932927428066385	,127663753314347	100	0	1	" "	" "	0	0	0	0	0	0
0	2.1/v1a(big)	1	2	v1a(big)	30,4346153106182	12,3862477634338	3,71125690209131	,388633434018893	1,34578755988226	51,4785385843739	,0856147911576274	,0961963945591319	,0731092598649403	100	0	1	0	1	0	0	0	0	0	0
0	2.2/v1a'(big)	2	2	v1a'(big)	31,3418217433888	15,2397588779951	3,93489301978049	,297868473398831	,916829063885214	47,9275422316912	,153477993073296	,0959237456708099	,0918848511162495	100	0	1	" "	" "	0	0	0	0	0	0
0	2.3/v1b(small)	3	2	v1b(small)	31,4333655361774	17,2705547363604	3,02028779173234	,345756851578787	1,48472059795597	46,1300655921086	,111862510804902	,104743987390044	,0986423958915951	100	0	1	" "	" "	0	0	0	0	0	0
0	2.4/v1c(big)	4	2	v1c(big)	29,2808561712343	12,0199039807962	4,74094818963793	,931436287257452	1,96664332866573	50,7338967793559	,12127425485097	,1125225045009	,0925185037007402	100	0	1	" "	" "	0	0	0	0	0	0
0	2.5/v1c'(big)	5	2	v1c'(big)	33,5418103023737	15,8337437210677	4,0047276666995	,523983059194327	,969171673397026	44,8478282281099	,121146459174628	,0915985423027676	,0659903476804885	100	0	1	" "	" "	0	0	0	0	0	0
0	2.6/v1a	6	2	v1a	31,5584179970972	15,1034107402032	4,87119013062409	,507982583454282	1,2155297532656	46,2989840348331	,172351233671988	,154208998548621	,117924528301887	100	0	1	" "	" "	0	0	0	0	0	0
0	2.7/v1b	7	2	v1b	31,3451924194861	12,0218579234973	4,98779211719568	,406929426810836	1,55795837693292	49,2152075340077	,162771770724334	,162771770724334	,139518660620858	100	0	1	" "	" "	0	0	0	0	0	0
0	3.1/v2a	1	3	v2a	33,3699503897945	13,3681785967399	2,21474131821403	,862863217576187	,813253012048193	49,0060240963855	,118710134656272	,132884479092842	,113394755492558	100	0	1	0	1	0	0	0	0	0	0
0	3.2/v2b	2	3	v2b	31,9595661356134	19,1732792028049	3,8639765434377	,385474974882615	,844764306657645	43,4612782186135	,0902175473129524	,105595538332206	,115847532345041	100	0	1	" "	" "	0	0	0	0	0	0
0	3.3/v2a	3	3	v2a	33,7493118003303	13,3969535694623	2,99137456414021	,495503762158194	1,10111947146265	47,696825105524	,183519911910442	,183519911910442	,201871903101487	100	0	1	" "	" "	0	0	0	0	0	0
0	3.4/v2b	4	3	v2b	33,9005235602094	20,196335078534	4,13612565445026	,235602094240838	,706806282722513	40,4319371727749	,117801047120419	,130890052356021	,143979057591623	100	0	1	" "	" "	0	0	0	0	0	0
0	4.1/v3c	1	4	v3c	26,0413329394485	17,8063667871899	1,91644371954847	,894146233892678	1,41257629784348	51,599602231829	,118165439937422	,0707328337653584	,140633516545242	100	0	1	0	1	0	0	0	0	0	0
0	4.2/v3	2	4	v3	24,0960370263234	19,9595024587793	2,6034133641886	,49175585768007	1,25831645935783	51,1353774949378	,159097483367081	,101243853051779	,195256002314145	100	0	1	" "	" "	0	0	0	0	0	0
0	5.1/v4a	1	5	v4a	35,8258884018746	27,4149122176714	3,29572944360614	,443901543276409	,68740868482192	32,0942412556985	,0614755734393587	,0974028566182047	,0790400229934612	100	0	1	0	1	0	0	0	0	0	0
0	5.2/v4b	2	5	v4b	35,1985468063535	29,3342345386955	2,96890841500507	,438492734031768	,671679621493748	31,121155795877	,0692801622169652	,103075363298412	,09462656302805	100	0	1	" "	" "	0	0	0	0	0	0
0	5.3/v4	3	5	v4	37,28187609639	26,1933339488505	3,30532730126489	,323146523866679	,766318899455267	31,8345489797803	,0830948204228603	,120025851721909	,0923275782476226	100	0	1	" "	" "	0	0	0	0	0	0
0	6.1/v5a	1	6	v5a	19,4604562693543	32,536157084701	2,48547337655559	,38737662518412	1,0728244859141	43,7271662356039	,136857610094989	,0684288050474942	,125259507544566	100	0	,833333333333333	0	1	1	0	0	0	0	0
0	6.2/v5b	2	6	v5b	22,4216617089768	28,4758159814189	3,91589584776496	,370808035532374	1,2092009290575	43,3478668350923	,111038669980848	,0539912798989446	,0937207122774133	100	0	1	" "	" "	0	0	0	0	0	0
0	6.3/v5a	3	6	v5a	17,3503951825367	32,2544222807678	3,48136996612721	,207000376364321	1,0350018818216	45,1825366955213	,188182160331201	,11290929619872	,188182160331201	100	0	,833333333333333	" "	" "	1	0	0	0	0	0
